status_o,status_sh,varieties_trad,varieties_high,bimas_y,bimas_no,size,seed,urea,phosphate,pesticide,pseed,purea,pphosph,hiredlabor,famlabor,totlabor,wage,price,goutput
1,0,1,0,0,1,0.14,5,25,15,0,100,70,70,63,84,147,51.59,80,250
1,0,1,0,0,0,0.143,6,35,25,150,40,80,80,64,82,146,50,52,434
0,0,1,0,0,0,0.143,6,30,20,0,40,80,80,45,99,144,54.47,55,450
1,0,1,0,0,1,0.071,4,25,15,0,140,80,80,91,52,143,117.69,140,360
1,0,1,0,0,1,0.098,5,20,10,0,40,80,80,27,115,142,31.03,50,325
1,0,1,0,0,1,0.214,16,70,30,180,40,80,80,56,85,141,50,60,930
0,0,1,0,0,0,0.213,7,46,29,250,70,75,75,38,103,141,51.32,56,580
1,0,1,0,0,1,0.143,5,25,10,0,140,100,100,1,141,141,129.35,140,550
1,0,1,0,0,1,0.143,5,25,10,0,140,100,100,1,141,141,120.5,160,550
1,0,1,0,0,1,0.406,8,60,20,0,60,82,82,109,29,138,38.53,60,930
1,0,1,0,0,1,0.1,2,30,30,0,80,70,70,81,53,134,49.51,80,186
1,0,1,0,0,1,0.071,3,5,6,0,80,75,75,1,134,134,66.28,58,195
0,0,1,0,0,1,0.086,8,50,25,0,40,80,80,68,62,130,31.43,50,378
1,0,1,0,0,1,0.1,9,10,8,0,85,70,70,65,65,130,43.08,85,160
0,0,1,0,0,1,0.091,5,30,30,0,60,75,75,57,73,130,49.12,60,310
0,0,1,0,0,1,0.1,5,15,4,0,83,70,70,31,99,130,59.35,85,230
1,0,1,0,0,1,0.057,4,20,17,0,74.5,70,70,26,104,130,56.15,85,158
1,0,1,0,0,1,0.071,2,17,8,0,140,90,90,40,89,129,128,140,300
0,0,1,0,0,0,0.14,10,25,50,0,100,70,70,39,89,128,58.97,66,450
1,0,1,0,0,0,0.142,5,25,25,0,80,70,70,14,112,126,70.57,56,500
1,0,1,0,0,1,0.04,3,12,8,0,100,70,70,14,112,126,42.86,80,120
1,0,1,0,0,1,0.14,5,15,15,0,60,70,70,1,126,126,45.5,60,230
1,0,1,0,0,1,0.079,3,25,10,0,175,100,100,28,94,122,128.57,160,300
0,0,1,0,0,1,0.164,6,8,7,0,40,80,80,34,85,119,44.44,55,700
1,0,1,0,0,1,0.143,5,32,10,0,75,70,70,42,76,118,59.52,80,280
1,0,1,0,0,0,0.071,5,15,10,0,60,80,80,1,118,118,45.5,60,164
1,0,1,0,0,1,0.143,4,20,5,0,70,70,70,6,110,116,56.67,56,500
1,0,0,1,0,1,0.074,5,40,10,0,160,100,100,1,111,111,120.5,160,150
1,0,1,0,0,1,0.07,2,20,10,0,85,75,75,29,81,110,57.76,85,150
1,0,1,0,0,1,0.084,6,20,10,0,40,80,80,1,110,110,46.67,50,300
0,0,1,0,0,0,0.071,2,15,7,0,40,80,80,5,102,107,38.57,50,250
0,0,1,0,0,0,0.071,2,15,7,0,60,80,80,5,102,107,56,65,180
1,0,1,0,0,1,0.086,4,1,2,0,80,70,70,1,105,105,48.5,70,185
1,0,1,0,0,1,0.126,5,19,19,0,80,75,75,1,104,104,48.5,80,225
1,0,1,0,0,1,0.1,7,20,10,0,80,70,70,14,89,103,62.86,56,320
0,0,1,0,0,1,0.143,3,20,10,0,97,70,70,1,103,103,66.28,65,372
1,0,1,0,0,1,0.171,7,30,20,0,73,70,70,38,61,99,42.11,81,248
1,0,1,0,0,1,0.143,6,15,15,0,65,75,75,1,98,98,66.28,65,224
0,0,1,0,0,1,0.086,3,4,3,0,60,80,80,1,95,95,45.5,60,350
1,0,1,0,0,1,0.057,3,20,5,0,150,100,100,26,68,94,129.23,150,200
0,0,1,0,0,0,0.071,3,15,10,0,60,80,80,29,64,93,55.17,65,250
1,0,1,0,0,1,0.143,6,30,20,0,50,70,70,24,67,91,63.33,65,320
1,0,1,0,0,1,0.085,2,6,4,0,100,70,70,59,31,90,45.76,80,130
1,0,1,0,0,1,0.112,5,15,10,0,40,72,72,1,90,90,56.67,50,450
1,0,1,0,0,1,0.071,3,4,4,0,80,70,70,46,43,89,49.13,81,132
1,0,1,0,0,1,0.071,3,20,5,0,150,100,100,22,67,89,145.45,150,240
1,0,1,0,0,1,0.1,3,8,4,0,74,72,72,19,68,87,46.84,80,162
0,0,1,0,0,1,0.043,3,13,12,0,60,80,80,15,71,86,53.33,60,207
1,0,1,0,0,0,0.07,7,30,10,0,60,80,80,32,52,84,55.63,60,250
1,0,1,0,0,1,0.043,1,5,5,0,60,80,80,1,84,84,45.5,60,200
1,0,1,0,0,1,0.043,3,15,9,0,80,70,70,1,82,82,48.5,81,124
0,0,1,0,0,1,0.071,3,12,8,0,60,80,80,16,64,80,56.25,60,186
1,0,1,0,0,0,0.057,3,13,12,0,60,80,80,37,42,79,59.46,60,200
1,0,1,0,0,1,0.07,2,25,5,0,80,70,70,1,76,76,66.28,56,250
1,0,1,0,0,1,0.071,4,7,7,0,80,75,75,1,76,76,48.5,80,100
1,0,0,1,0,1,0.071,2,15,5,0,200,100,100,1,75,75,135.5,150,200
1,0,1,0,0,1,0.093,4,35,10,0,160,100,100,34,40,74,132.06,160,238
1,0,1,0,0,1,0.036,1,5,2,0,65,70,70,1,70,70,48.5,80,95
1,0,1,0,0,1,0.07,4,10,2,0,105,72,72,1,69,69,45.5,60,130
1,0,1,0,0,1,0.036,2,8,7,0,150,90,90,39,29,68,135.38,150,200
1,0,1,0,0,1,0.1,3,15,10,0,60,80,80,28,39,67,38.57,60,186
1,0,1,0,0,1,0.143,6,40,20,0,60,80,80,14,52,66,38.57,60,620
1,0,1,0,0,0,0.036,3,5,5,0,50,80,80,45,19,64,43.33,65,100
1,0,1,0,0,0,0.143,6,35,35,0,80,70,70,28,35,63,52.86,56,420
1,0,1,0,0,1,0.071,3,15,8,0,100,75,75,16,46,62,47.5,85,210
1,0,0,1,0,1,0.036,2,6,5,0,200,100,100,1,62,62,120.5,150,100
1,0,1,0,0,1,0.07,3,15,10,0,60,80,80,1,61,61,45.5,60,250
1,0,1,0,0,1,0.043,3,15,10,0,50,80,80,1,60,60,45.5,60,150
1,0,1,0,0,1,0.071,3,15,5,0,80,75,75,24,34,58,52.5,85,110
1,0,1,0,0,1,0.056,3,15,10,0,60,75,75,1,57,57,45.5,60,240
1,0,1,0,0,1,0.036,2,10,5,0,160,100,100,28,12,40,131.43,160,98
1,0,1,0,0,1,0.014,2,5,3,0,60,80,80,1,28,28,45.5,60,262
