squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
5767,97,1,1,11,44551,7,3,1998,1,0,2516,5601,2790,1,36,586742.8
59800,47,0,1,27,44815,6,9,2021,0,0,5075,3104,5645,0,32,5984462.1
54836,25,0,1,53,64601,10,5,2020,1,0,5278,1059,6935,1,93,5492532
54318,10,1,1,52,76737,4,2,1998,1,1,9580,3787,294,1,39,5444967.8
70021,52,1,0,28,95678,4,6,1992,0,1,4480,6919,9405,1,73,7005572.2
54368,11,1,1,20,55761,3,7,2021,0,0,231,1939,5579,0,37,5446398.1
31421,29,0,1,68,67505,5,3,1999,1,1,8949,2080,1828,0,29,3147829.9
63053,6,1,1,28,45312,3,1,1997,0,1,8414,6270,4600,1,100,6315375.7
4187,89,0,1,17,7488,1,6,1994,1,0,186,2627,6987,1,35,421906.4
33108,82,0,1,83,52015,6,10,2016,1,0,6250,8751,3389,1,25,3316069.6
64393,8,0,0,51,95335,4,1,1990,1,0,3835,2403,9564,0,2,6441378
93876,60,0,1,70,5484,2,1,1999,1,1,4086,5991,556,1,64,9390891.9
67040,60,1,1,22,1690,4,8,1993,1,0,4817,5222,5588,0,21,6714247.3
47938,17,0,0,68,64247,7,1,2013,0,1,327,209,9169,1,86,4797883.3
39090,57,1,0,74,2922,4,9,2010,0,0,3572,8722,9873,1,10,3917691
43609,66,0,0,55,6739,4,9,2005,0,1,3388,2353,6173,1,84,4364910.5
41998,74,1,0,17,32039,6,1,1990,1,0,6838,4925,9933,0,9,4203344
36496,9,0,1,47,51526,5,1,2017,0,1,2768,6291,8446,1,35,3656368.7
84016,15,1,0,55,63595,1,7,2016,1,0,3284,9879,9140,0,75,8410054.6
3087,27,1,1,94,9283,3,10,2005,1,1,5866,3557,9105,1,27,321717.5
89768,48,1,1,17,71000,6,9,1993,0,1,2485,108,5399,0,38,8980518.3
30226,74,1,1,87,71053,10,9,2007,0,0,515,13,4943,0,98,3039243.7
58478,5,0,1,35,5898,6,10,2016,0,0,8366,4799,5980,1,80,5853710.6
66621,48,0,0,89,52165,10,1,1995,1,1,5024,8103,3155,1,73,6666403.5
73314,43,0,1,38,49895,10,1,2018,0,1,3281,5020,6546,0,36,7336538.8
59972,28,0,1,18,32083,9,8,2021,1,1,8384,7226,3004,1,28,6000826.1
71591,20,1,0,58,46834,7,4,1998,0,0,6486,3310,9011,0,6,7165980.8
92462,52,1,1,46,22405,9,6,2019,1,0,9584,8587,5245,0,9,9257840.9
52325,60,1,1,24,76804,6,5,1992,1,0,8987,3149,410,1,50,5238533.2
67311,67,0,0,10,45626,3,3,1990,1,1,6928,7808,1162,1,80,6732249
45050,99,0,1,87,20318,4,8,2013,1,0,5218,8217,1548,0,31,4508695.3
61534,73,1,0,97,22943,9,5,2001,0,0,9265,8974,5651,1,40,6159875.1
84091,50,0,1,72,22718,7,5,1993,0,0,2668,4669,624,0,96,8414104.3
77579,69,1,1,97,88798,6,1,1999,1,0,4850,5648,5133,1,44,7767797.9
25204,31,1,1,37,87552,4,10,2020,1,0,6560,4287,1876,0,39,2530488
42059,46,0,1,62,43289,6,3,2017,1,1,8827,1853,5511,1,20,4212125.7
38430,43,0,1,51,3406,6,4,2021,0,1,1214,606,7286,0,24,3846214.1
7069,4,0,0,89,55300,9,2,2009,1,1,7499,8969,3547,1,51,709107.9
34780,75,0,1,9,67297,4,5,2019,0,1,3033,6475,2537,1,19,3480536.9
12757,100,1,0,7,19550,7,8,2020,1,1,6795,9983,5875,0,79,1277834
33749,74,0,1,38,73976,10,7,1999,1,1,1729,7952,1796,1,79,3380855.9
600,37,1,0,43,72736,4,7,2011,1,0,6738,5603,1680,0,95,63402.1
7239,61,1,0,83,26435,4,7,1994,1,0,7782,2518,1607,0,31,733776.4
34919,20,1,1,84,60113,5,1,1997,0,0,6566,628,610,0,53,3499532.7
25614,29,0,0,27,52970,4,1,1994,1,0,700,377,1609,1,35,2563970.4
51434,64,0,0,23,79754,10,2,2012,1,1,2080,9575,5430,0,98,5146226.2
78960,55,0,1,76,23408,8,4,2015,1,1,7126,5012,2037,1,89,7900996.5
70751,64,1,1,41,92268,1,9,2006,1,0,1506,590,2160,1,99,7084110.6
81870,60,0,1,100,58048,3,8,2020,0,0,3632,5960,2410,1,13,8198185
91559,36,0,1,21,82521,6,2,2007,0,1,788,4788,6088,1,94,9161130.7
72098,9,0,1,67,91168,2,3,2014,1,0,9080,9356,2968,1,99,7216904.4
23177,19,0,0,52,69373,4,1,2003,0,0,2706,4593,8496,1,57,2318776.3
39517,92,0,0,85,51212,4,6,2019,0,1,7618,1172,7805,1,70,3953491.9
55232,23,0,0,8,849,8,3,1991,0,0,1492,5697,9843,0,63,5524015.1
53735,49,0,1,92,2423,4,7,2006,0,0,8654,9588,6642,1,78,5384554.6
67753,72,1,1,78,31721,3,9,1995,1,1,7480,2068,18,0,49,6789580.5
1450,59,0,0,1,2317,10,9,2018,1,1,1285,8119,9011,1,100,146181.8
82141,93,1,1,61,74213,3,7,2019,1,1,8785,6602,2777,1,12,8225970.9
17868,73,1,0,35,48674,4,9,2013,0,0,1718,5498,1563,1,21,1792308.3
71397,71,0,0,93,68199,3,10,1995,1,1,3477,5530,5617,0,7,7145471.5
32623,35,0,1,14,80204,10,6,2003,1,0,4633,7551,9547,0,12,3267852.3
23841,71,1,1,25,32106,3,7,2010,1,1,7590,5224,1300,1,79,2390804
16495,94,0,0,6,90448,3,10,1991,1,1,2214,1464,2758,1,30,1650711.1
39109,24,1,0,67,74477,4,3,2002,1,0,1642,2925,3033,0,81,3917652.2
65151,81,1,1,3,66191,7,9,1991,0,0,3218,9119,366,0,61,6522781.1
61484,91,1,0,94,87015,8,8,2013,1,0,5486,3641,6904,0,10,6154833.3
57160,15,1,1,43,40786,8,8,2002,0,0,4018,4871,6935,1,35,5724102.2
13346,57,0,0,57,30010,6,8,2021,1,1,2525,545,3952,0,94,1336414.1
27351,77,0,0,36,98465,4,1,1997,1,1,1150,3100,6257,1,89,2738851.7
18466,50,0,1,60,89670,5,2,2020,0,0,2475,1376,6404,0,13,1849227
45441,29,1,0,66,21239,3,5,2004,0,1,8121,2996,8472,0,23,4552319.4
55933,15,0,0,97,5800,9,8,2001,1,1,7369,6739,8959,1,73,5599976.1
81936,68,0,0,92,6143,3,1,2011,1,0,6393,9082,8482,0,92,8198107.1
18237,70,1,0,74,25093,9,6,2011,0,0,7173,9144,9452,1,58,1833338.1
35631,54,1,0,7,77355,10,6,2018,1,1,216,1339,6160,1,7,3568002.8
99683,12,1,0,77,18300,5,8,2002,0,1,4034,2877,2752,1,21,9977000.2
47664,44,0,0,77,98008,6,3,2010,1,1,2662,5433,1907,0,26,4770073
62887,45,0,1,7,91125,4,3,1993,1,0,292,744,2676,0,22,6293710.3
18470,20,1,1,73,9406,3,1,2000,1,0,4089,9245,7580,1,49,1852115
36031,63,1,0,47,74698,9,8,2001,0,1,9701,1325,5091,0,8,3612495.1
22776,84,0,0,5,82401,9,9,1993,0,1,2422,1918,2092,1,39,2278599.3
14830,81,1,0,1,17641,1,10,1992,1,0,6151,1651,2219,0,18,1487488.2
43944,40,1,0,69,5581,10,5,2012,0,1,7466,6556,4123,1,25,4403326.2
73062,34,1,1,38,44770,4,8,2016,0,0,9823,7174,4030,1,91,7313447.6
84284,76,0,0,39,55723,5,1,1998,0,0,4500,4877,4715,0,82,8432554.8
9619,66,1,0,91,82543,9,5,1991,0,1,1069,3823,6484,0,80,969806.1
11410,96,0,1,96,85454,8,3,2019,0,1,1466,3642,8698,1,17,1150663.9
29855,63,0,0,23,78080,5,5,2000,0,1,3861,7495,2415,0,29,2987645
46716,94,0,0,58,25303,8,5,2008,0,1,1361,6855,8131,0,96,4674140.8
77046,69,1,0,85,43517,4,2,1992,0,1,8135,1401,9187,0,29,7714235.2
58855,1,0,0,66,20127,3,7,2004,0,1,2267,3070,691,0,35,5892518.4
69165,66,1,0,74,51371,4,4,2009,1,1,1543,9736,9031,1,91,6926290.9
57915,25,0,1,84,87517,10,4,2007,1,1,3394,4287,4988,0,83,5800324.7
66279,47,1,0,9,21934,3,2,2003,0,1,5079,3156,2188,0,52,6631365.3
16068,21,1,0,13,21716,8,8,1991,1,1,8893,2564,4205,0,7,1611707.1
74325,50,1,1,58,91978,8,10,1994,0,1,4008,1952,7545,0,77,7443433.4
35742,46,1,1,47,84138,7,1,2014,1,1,1732,6019,1148,0,74,3581003.4
9026,51,1,0,28,85842,1,5,2000,1,0,779,9037,4731,0,54,904797
16899,19,0,1,14,47328,2,4,2020,0,1,5710,907,2147,1,49,1693690
99854,82,0,0,64,82741,3,8,2009,0,1,4827,2626,3941,0,46,9989598.9
33743,56,1,1,29,21945,10,8,2006,0,1,7330,3012,6691,0,21,3382812.6
72798,22,1,1,30,61212,9,3,2007,0,0,2209,2120,4029,0,39,7290431.7
86492,21,0,0,86,42450,3,7,1992,1,0,7843,5348,2343,0,6,8654049.2
38937,35,0,1,77,2867,2,6,2013,1,1,1312,1272,4221,0,75,3901433.3
24762,22,0,1,62,50367,10,10,1999,1,1,5264,3986,2137,1,52,2480900.9
91047,45,0,0,65,41065,8,2,1999,0,0,7241,1060,9599,1,1,9109264.9
55527,64,0,1,44,61931,4,2,2005,0,1,9385,9507,4879,1,98,5557814.5
70606,17,1,1,79,38,7,3,2017,1,0,4927,1285,7851,0,26,7070662.7
67327,47,0,0,87,26709,9,3,1990,0,1,1097,8551,8673,0,34,6741466
6125,90,0,1,29,95979,1,2,2012,1,1,6423,7934,1576,0,93,615143.2
71833,37,0,1,51,58147,2,5,2013,0,0,3772,2045,6543,1,82,7185318.3
20811,98,1,1,71,91543,1,4,1995,0,1,112,53,2908,0,63,2090690.5
7643,98,0,0,63,5989,2,3,1999,1,0,2142,7748,9495,1,8,765618.9
16669,95,1,1,81,15949,4,3,2007,0,1,6109,1409,1711,1,71,1676719.7
84006,73,1,1,97,54296,4,7,2000,1,0,9698,6310,3801,0,38,8409827
34059,49,0,0,90,63489,4,8,1993,0,1,4138,5337,7405,0,76,3412619.3
36131,95,0,0,88,72385,8,8,1991,1,0,1046,8463,4225,0,53,3620939.1
8201,18,1,1,66,38920,7,2,2007,0,0,4949,5811,9306,1,42,826967.7
38398,84,0,0,22,44513,6,8,1994,1,0,1618,9458,7274,0,19,3842545.4
38833,10,0,0,14,28075,4,3,2014,1,1,1828,7626,8938,1,43,3884619.4
41488,22,0,0,59,2019,9,1,2013,0,1,2090,4438,5002,0,60,4151539.3
5205,2,0,0,15,71289,7,3,2005,0,0,8342,4705,288,0,84,521650.5
45066,28,0,0,62,85825,9,5,2013,0,0,7092,6757,535,1,46,4508367.3
63875,53,1,1,14,54408,7,3,1999,1,0,4139,7178,5926,0,52,6394774.9
25052,88,0,0,94,1083,8,6,2020,0,1,718,6346,8038,0,37,2515214
51457,64,0,1,32,68294,3,10,2016,0,0,3016,1891,3277,1,26,5150600.6
84396,64,0,0,96,88421,6,7,2015,1,1,7416,6190,1138,1,26,8449333.5
64920,98,0,1,63,1173,8,8,2016,1,0,2287,8181,448,1,26,6501809.6
9166,4,1,0,16,26610,4,1,2015,1,1,6838,9438,3259,1,19,922847.5
85558,48,1,0,83,55318,2,9,2017,0,1,7997,655,7694,1,37,8568781.7
87267,75,1,0,81,57714,6,10,2019,0,0,6899,1628,3295,1,10,8731940.9
96091,100,0,1,24,99874,10,3,1999,0,0,6546,4094,9384,0,60,9615021.9
38003,98,1,0,6,49191,8,10,2008,0,0,9981,6500,3393,0,45,3803545.8
83120,97,0,1,68,93953,6,6,2015,0,1,15,4581,1733,0,59,8318749.5
20468,100,1,0,34,63924,6,4,2003,0,1,9659,6233,898,0,37,2049846.3
75152,91,1,0,37,61836,3,3,2018,1,0,4717,5685,2012,0,43,7518709.8
32688,9,1,1,18,86166,6,5,2013,0,1,9089,6967,9790,1,96,3274057.3
45868,72,1,1,69,33082,5,7,1994,1,1,7668,9908,9495,0,84,4600708.4
73900,69,0,1,36,57473,4,3,2018,0,0,9847,6227,9311,1,12,7394635.8
16000,41,1,1,25,86898,9,4,2007,0,1,7228,764,7822,0,39,1606948.7
1423,59,0,1,30,21687,8,4,1993,1,1,3900,1985,3745,0,6,149234.3
29951,37,1,1,13,56604,6,8,1995,1,1,5692,9582,8621,0,44,3002371.5
40231,84,0,1,41,64474,4,5,1999,0,0,5700,303,7203,1,10,4030226.9
59517,38,1,0,69,93928,8,8,2003,1,0,6831,2741,9565,1,81,5958698.3
98969,26,1,0,69,36941,10,8,2003,0,0,3744,5809,8315,1,94,9902968.3
99177,49,0,0,41,5100,6,10,2021,1,1,6326,6738,1661,1,29,9919217.1
89157,46,0,0,42,34482,3,6,2009,0,1,3510,781,2052,1,76,8920282.9
67429,60,0,1,24,89820,8,7,1991,1,0,3578,3600,1368,1,33,6749654.1
38431,57,1,0,60,69199,9,3,2020,1,0,4121,3307,959,0,93,3848467
72495,76,1,1,59,8723,8,10,1994,1,0,3413,2245,3326,1,32,7259025.4
85362,77,1,0,19,40604,6,5,1997,0,0,7728,8516,6614,1,19,8541211.7
28597,93,0,0,47,16237,3,9,1990,0,0,4492,270,608,0,39,2863386
13687,36,1,1,93,2400,3,5,2001,1,1,4148,6383,4673,0,58,1376329.1
50479,3,0,1,73,39939,5,9,2020,0,0,4149,6785,1557,0,46,5057657
98121,38,0,1,57,20289,7,4,1995,0,1,6028,8690,7622,0,59,9817494.5
57736,16,0,0,21,83855,9,6,1999,0,1,6099,1511,4904,0,22,5775940.9
30356,40,0,0,85,13378,7,1,1992,0,0,7660,774,5486,0,89,3039209.2
21141,38,0,1,80,65184,10,3,1998,1,1,169,8853,9900,1,70,2126023.8
98122,34,0,0,7,80176,7,4,2009,0,1,7125,7272,4805,1,36,9813433.9
34746,12,1,0,15,57668,10,5,2000,0,0,2840,3137,438,0,67,3478332
17297,43,1,1,19,99289,7,5,2012,1,1,3216,5586,2436,1,19,1738971.2
80324,47,1,1,7,20394,3,2,1993,1,1,325,3203,7250,0,81,8039714.3
15815,13,1,1,2,2179,7,1,2019,1,0,637,7880,337,0,24,1585031.9
1066,5,1,1,46,65388,4,9,2017,0,1,2723,9228,1563,1,54,114605.7
79275,95,0,1,67,13000,5,9,1995,0,1,3689,7215,8692,1,65,7930383.5
20658,7,1,1,48,80216,4,10,1997,0,0,8080,9560,30,1,87,2076936.7
8687,88,0,1,64,2052,3,6,1993,1,1,7414,6075,6801,1,74,877525.3
69638,42,1,1,63,89878,1,2,1991,1,0,4703,7032,7716,1,79,6977654.1
94036,18,0,0,19,79418,10,9,2001,1,1,5913,178,9665,0,92,9406163.1
60889,72,0,0,87,55928,6,8,2018,1,0,7437,4833,6868,0,15,6091341.8
11680,21,0,0,14,5324,10,1,1992,1,0,7478,6846,8764,1,86,1169431.2
11458,96,1,1,31,95286,9,5,2010,1,0,1365,3757,759,0,42,1154040
20397,67,0,0,79,29406,8,7,1997,0,0,705,4914,9688,1,84,2042985.7
83206,34,1,0,51,27565,9,9,1999,1,0,9170,9694,5760,0,25,8326302.9
8951,11,1,0,63,32412,1,10,1997,1,0,6189,2892,6761,0,82,904889.7
22854,41,1,0,89,74420,4,7,2001,0,1,6216,521,6074,1,24,2292467.1
46042,52,0,0,74,45861,9,8,2015,1,0,65,9506,7266,0,46,4605791.5
93506,20,1,0,28,7068,8,9,2017,1,0,5297,1410,226,1,68,9356982.7
58748,76,0,0,40,20761,2,5,2010,0,1,1627,996,5008,0,80,5875981
715,71,0,0,23,33439,7,3,2010,0,1,8609,3736,5274,1,91,74252
55327,22,1,0,59,76622,1,2,1993,1,1,7163,9333,4194,1,6,5540589.3
63631,84,1,0,12,31269,6,10,2000,0,0,239,1952,4008,1,49,6369055
77915,99,0,0,21,63942,5,10,2018,0,1,1081,9015,7108,0,29,7793915.8
91804,5,0,0,81,87339,3,9,1999,0,1,8554,1275,5880,1,33,9182083.9
57295,95,0,0,69,32081,2,2,1994,1,1,9771,9634,2511,1,60,5731510.4
61057,65,1,0,77,17051,9,8,1998,1,0,9762,545,7791,1,89,6114671.8
91626,83,1,0,55,59173,4,5,1991,1,1,2684,784,1092,1,22,9169068.1
29356,96,1,1,46,4864,4,9,1990,1,1,1780,393,9819,1,9,2948071
27134,62,1,0,2,1498,7,7,2003,0,0,3718,9140,2461,1,29,2715604.3
1682,65,1,0,79,7602,2,3,2017,0,1,2590,425,4776,1,76,174918.7
98868,41,0,1,67,85917,7,3,2021,1,1,2146,1077,623,1,90,9892300.1
23898,62,1,0,93,73176,9,9,1996,0,1,8256,4656,1897,0,0,2399286.6
83110,43,1,0,75,55046,7,10,2001,1,0,4108,5663,2105,1,67,8321631.1
71154,67,0,1,53,8762,2,6,2021,1,1,8418,7187,6499,0,82,7122699.1
90841,48,1,0,15,25300,6,5,2003,0,0,3333,149,2949,0,20,9086177.3
68416,87,1,0,48,60979,8,7,2010,0,0,1811,6776,8776,0,19,6846709
47585,95,0,0,5,81532,5,1,1993,1,1,5101,89,807,0,81,4759724.3
28452,79,1,0,40,79918,4,10,2006,1,1,388,1889,7918,1,75,2850377.6
15630,78,1,0,4,98750,7,3,1996,1,0,7084,4158,2460,1,35,1565985.6
65900,36,1,1,99,27819,1,5,2017,0,1,2637,1038,1967,0,91,6605894.7
21600,94,1,0,56,85215,10,8,2000,0,1,3129,6029,9755,1,43,2166421
74704,31,0,0,22,93675,1,9,1992,1,0,7463,8866,1881,0,46,7472587.2
87291,78,1,1,42,5950,3,3,2017,0,1,6214,3127,1123,1,62,8739254.7
96687,65,0,1,81,70871,4,4,2012,0,1,2438,8183,6345,1,35,9673884.2
60567,65,1,1,100,39919,7,6,2019,1,0,7010,7994,2180,1,7,6071330.9
4872,41,0,0,74,79028,9,6,1990,1,0,5851,1579,3124,0,83,489455
9157,48,1,0,53,6500,4,10,2009,0,0,6401,6536,8164,0,12,922102.9
65217,26,1,1,39,96357,6,8,2019,0,1,1374,3300,9798,0,79,6531999.9
87346,56,1,1,82,34773,9,9,1990,0,1,5792,549,7579,1,38,8743241
47701,26,1,0,46,73572,3,5,2001,1,0,5447,3025,2662,0,99,4773352.1
14766,50,0,1,79,36865,8,1,2001,0,0,8031,383,4581,0,100,1488265.1
94841,19,1,1,75,11526,3,5,1998,1,1,3157,986,6807,1,91,9498026.8
59318,92,0,0,91,68354,9,8,2002,0,0,9413,9619,9598,1,21,5939275.2
1796,28,0,0,4,66676,1,1,1997,0,1,8360,2070,1035,0,8,180265.7
96526,36,1,1,34,61875,5,2,2020,0,1,2131,710,5281,1,70,9661068
62876,36,0,0,9,90089,4,8,2006,0,0,338,8342,1899,1,91,6288117.6
59558,43,1,1,89,79779,4,3,2012,0,0,9174,4094,6110,1,34,5967916.2
97008,89,0,1,4,11466,9,5,2014,1,1,8321,5231,3834,1,82,9703551.4
66746,6,1,0,10,22139,7,3,1997,0,0,1567,9732,518,1,28,6678869.7
25776,36,0,0,93,4777,5,9,2002,0,0,688,5948,2332,1,15,2582235.2
96195,97,0,1,64,91809,7,4,2018,1,1,3874,9414,2375,0,69,9626665.8
4805,47,1,1,99,48026,5,5,1995,0,1,2788,4069,4306,1,1,486824.5
23045,21,1,0,75,72570,5,5,1990,0,1,651,4309,1398,0,44,2312202
95441,70,0,1,65,3574,6,10,2017,1,1,2841,3067,8386,1,63,9554998.7
28381,34,1,0,64,44973,6,2,2009,1,0,6737,1660,6698,1,92,2847241.9
15731,34,1,1,37,93825,5,2,2003,0,1,7361,4828,5188,0,39,1582940.3
18966,58,1,0,25,4414,10,4,2019,1,1,2327,7431,3704,0,29,1902151.9
24393,46,1,1,16,18507,4,8,2019,0,0,4080,4764,4167,1,70,2449464.9
53339,67,0,0,11,6144,4,1,2013,1,0,368,8180,5511,0,43,5335546.3
44053,17,1,0,55,70068,9,3,2004,1,0,6586,382,7144,0,26,4413295.4
70898,98,0,0,92,51635,6,1,1994,0,0,4848,784,7036,1,60,7091863.4
84483,41,1,0,85,28464,10,3,2019,1,0,6052,369,9952,1,1,8452134.9
35716,24,1,0,52,77207,4,2,2013,1,1,8821,9581,5581,0,37,3574932.3
64693,64,0,0,81,90290,10,9,2013,0,0,7506,6802,9386,0,35,6471378.3
32593,40,1,0,94,89328,2,9,2006,0,0,2261,9719,8661,1,22,3265750.6
1607,63,1,1,52,32832,10,8,2020,1,0,2844,5531,2041,0,59,173112
39484,74,0,1,30,6688,6,4,1991,1,0,3172,2821,7203,1,76,3954971.1
32458,28,1,1,20,47125,1,3,2015,0,0,8462,890,4291,1,8,3253846.5
72243,64,0,1,23,34837,2,1,2004,1,1,4431,8585,1760,1,60,7229477.4
20624,44,1,0,83,50284,10,2,1996,0,0,318,6191,9285,0,87,2070369.6
7443,38,1,0,41,4785,8,8,2005,0,0,3249,4423,5319,0,92,748338.5
78382,41,0,0,14,58781,7,1,2020,1,1,8751,7515,5156,1,57,7840062
70614,15,1,1,100,61317,10,5,2010,1,1,4845,8727,7084,0,67,7075926
32235,59,1,0,10,76786,2,6,2016,1,0,7388,828,4749,0,17,3225143.6
2523,12,1,1,67,75753,3,10,2015,1,1,150,473,7513,1,26,260710.5
87864,55,0,0,77,48421,8,4,2019,1,1,7834,7083,7449,0,80,8790481.9
18316,97,0,0,3,68804,10,5,1991,1,0,5804,2070,9361,1,76,1832673.1
94471,30,1,1,79,55210,6,1,2011,0,1,1327,6342,7083,0,82,9454072.1
60704,96,1,1,29,18856,1,10,2004,0,0,4505,9766,7022,1,70,6080655.4
54020,4,1,0,64,58230,1,3,2013,0,0,8767,4062,4242,1,21,5406334.3
59612,37,1,0,56,69063,10,7,2017,1,1,5616,5474,2561,1,23,5967739.7
56467,63,0,0,41,28576,3,2,1990,1,0,2743,5018,8289,0,14,5649094
65625,55,0,1,36,89469,2,10,2015,0,1,774,1091,9352,1,45,6567597.5
41570,76,0,1,98,21758,10,4,2014,1,1,3573,3494,9113,1,96,4167932.4
44862,99,0,1,68,58122,7,5,1992,0,0,9383,3076,9687,0,53,4493882.2
47212,37,1,1,81,4826,7,4,2001,0,0,7210,5160,6922,0,17,4734236.1
2840,17,1,0,26,94918,4,4,2004,1,0,6848,5362,7695,1,97,288797.4
40465,85,0,0,100,6023,4,9,2004,0,0,6327,1053,9058,1,39,4052600.4
17191,80,1,1,29,49538,2,5,1995,1,0,3192,2786,5809,1,48,1728829.5
56480,85,1,0,80,21192,8,3,2016,0,0,8211,9476,5418,0,4,5653048.6
70503,78,0,0,29,72210,2,6,2021,1,0,6819,4897,4659,0,77,7051701.1
4885,100,0,0,54,79559,7,8,1993,0,0,9519,8043,7690,0,37,493693.3
58263,65,1,1,57,39046,9,10,2006,0,1,7942,6968,7850,1,100,5840294.6
47647,52,0,1,6,24285,10,2,2002,1,1,3220,9457,1223,1,46,4768169.2
57916,51,0,0,24,8801,8,1,1998,0,1,3831,5615,9561,1,10,5792783.8
6396,71,0,0,40,28917,6,6,2005,1,0,413,3302,2017,0,6,643620.5
41972,18,0,1,49,40098,7,7,1995,1,0,842,820,443,0,20,4206464.5
94311,11,1,0,47,89062,8,1,2007,0,1,3619,128,1889,0,67,9439790.7
10714,41,0,1,98,23803,5,6,1996,0,1,2598,1190,626,1,16,1075982.6
11259,26,0,1,82,34780,10,4,2010,1,0,902,3876,9806,1,11,1134964
3534,16,1,1,13,39998,4,1,2003,0,1,5811,6473,6141,0,96,359850.3
